"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DS09-00965","DS09-00965-1","SA09001","SALVAGE - WEIGH",2306,"The Fresh Market","LOCAL",7/2/09,72699,12/31/99,58,"LB",58
"DG09-00586","DG09-00586-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2881,"Food Lion # 1674","A2H LOCAL",7/2/09,72609,12/31/99,60,"LB",60
"DG09-00585","DG09-00585-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2538,"Food Lion 1657","A2H LOCAL",7/2/09,72608,12/31/99,66,"LB",66
"DS09-00961","DS09-00961-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",2306,"The Fresh Market","LOCAL",7/2/09,72617,12/31/99,71,"LB",71
"DS09-00964","DS09-00964-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1074,"Bonus Freight Donations","LOCAL",7/2/09,72626,12/31/99,82,"LB",82
"DS09-00967","DS09-00967-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1353,"Food Lion 528","A2H LOCAL",7/2/09,72703,12/31/99,83,"LB",83
"DG09-00588","DG09-00588-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/2/09,72657,12/31/99,91,"LB",91
"DS09-00968","DS09-00968-1","FD09001","FOOD DRIVE - WEIGH",2269,"Friends Feeding Friends","LOCAL",7/2/09,72704,12/31/99,91,"LB",91
"DS09-00961","DS09-00961-1","PR09002","VEGETABLES - WEIGH",2306,"The Fresh Market","LOCAL",7/2/09,72619,12/31/99,91,"LB",91
"DW09-00353","DW09-00353-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/2/09,72634,12/31/99,94,"LB",94
"DR09-02605","DR09-02605-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2976,"Kroger #306","A2H LOCAL",7/2/09,73050,12/31/99,100,"LB",100
"DG09-00589","DG09-00589-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/2/09,72661,12/31/99,103,"LB",103
"DW09-00353","DW09-00353-1","FD09001","FOOD DRIVE - WEIGH",2165,"LOWES FOODS","LOCAL",7/2/09,72633,12/31/99,111,"LB",111
"DR09-02616","DR09-02616-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1309,"Food Lion 1557","A2H LOCAL",7/2/09,73061,12/31/99,115,"LB",115
